customer_id,customer_name,review_head,review_body,review_date,ratings
customer_review-RC6YCEFZVYAYV,raju,Ok,ok,07-10-2019,5
customer_review-RV54BH5V111CS,Adilcn,"wonerfull camera, loved it.",wonderfull camera absolutely loved,13-10-2019,5
customer_review-R1S5X6FZ8ED2GC,Sid Gaikwad,Value for money,value money,01-11-2019,5
customer_review-R2W768CGAXLH0K,Williamjit singh,Value for money,value money,25-08-2019,5
customer_review-R31R5YLJM5O2RA,Rajan V.,Not worthy,much expected,07-10-2019,3
customer_review-R3LA056NFJHF5G,Amazon Customer,Nice product,screen guardalso camera bag good,11-11-2019,5
customer_review-R1D3D8UKPNZLG4,mohan,value for money,value money,10-10-2019,5
customer_review-R10XY0400HV5AA,Ankit kumar mishra,Beginner's choice,great product recommend beginners decent price range,02-09-2019,4
customer_review-RF6456VZECW6A,Prabhakaran,Good product,good picture quality,07-11-2019,5
customer_review-R102FVOHXLDWRS,Madhu kumar,Beginners gadget,best one beginners,20-08-2019,5
customer_review-R10O3YI66W0JCU,Subash chhetri,Awesome,good beginners,11-10-2019,5
customer_review-R1B6NHO5K5GPU0,"Vipin lal varavoor, thrissur",Kidilan,great value money use tele lens portrait u,30-01-2019,5
customer_review-RX6I0QGU1MAC9,Avinash Joshi,Great Purchase for the Price!!,get connecting cables camera laptop etc,19-11-2019,4
customer_review-R8J7OEXH5OVVP,Rohit Kumar,One of the best Canon camera EOS 1500D,camera one besti using easyly,04-12-2019,5
customer_review-R1RM0Q3NJ1IUO2,Amazon Customer,Awesome camera,simple use great price range,21-06-2019,5
customer_review-R3DC427MS9CLJP,Himasekhar Reddy,Awesome experience in buying camera,bought time price camera awesome beginners good,02-11-2018,5
customer_review-R3LC06CQAHPECY,sushanta,Battery,bad quality battery 2530 click shows low,17-03-2019,5
customer_review-R36LW75RE2JJXA,Nilesh Rawool,very nice product,friendly use product,21-11-2019,5
customer_review-RUT94Q0AW1SAD,Singisetty Vijay Kumar,Wonderful,wonder product really like,16-11-2018,5
customer_review-R2U4DYPXIROHVZ,deepanshu n.,Nice,nice,02-10-2019,5
customer_review-R3H5BXRK8Y3DQU,SUMIT THAKUR,Awesome DSLR in 30K range,liked product much please let know accessory securely handle cam,29-11-2018,5
customer_review-R2TK7396S1OV5S,dhanveer ahamed,Super,best cam beginners bought item 35000,07-11-2019,5
customer_review-R1GTHD5B2TKQ9Y,Suhas P.,Classy for beginners,number one product canon beginners,01-12-2019,5
customer_review-R3NI3LY7D5WF1B,amit naik,Good,good beginners photography,28-11-2018,5
customer_review-R9RMHYE0HPRDW,manish s.,Little bit expensive,good little bit expensive,24-11-2019,4
customer_review-R1A85KG0VWD002,ANIRBAN MUKHERJEE,Best affordable DSLR,great beginnershandy cheap,30-01-2019,5
customer_review-R1SILW9EZP9R9X,Gaurav,Best camera for beginners,first camera good beginning happy,02-11-2018,5
customer_review-R4JH50YFOOKIO,Amazon Customer,Nice Product,nice dslr nice product,09-10-2019,5
customer_review-RD8EY5KBR4IQR,Danes,Nice product in this price range,pictures quality ok,09-12-2018,4
customer_review-R2Y9DW8PMOZQ38,Sahil Jain,Awsum,liked alot,09-02-2019,5
customer_review-RRYILRW5XNA9G,Subhankar,Best For Beginners,good product,10-11-2019,5
customer_review-RB4KKA0YIUFY3,Natesh,"Worth for money, especially for beginners. I loved it.",good,01-09-2019,5
customer_review-R23GHPTYTJ6HI1,Amazon Customer,Best camera with compact features,best camera beginners better photography,18-10-2019,5
customer_review-R1MZ5DNGWF7IYT,Amazon Customer,Canon 1500D is Best !,best camera dis price range convenient use best choice beginners,11-12-2018,5
customer_review-REYN2IXE2N9LX,Anil Kumar,Great,great beginners,27-11-2019,4
customer_review-R2SJ65SFA67O96,prabala,an average camera,beginners camera good auto focus good,07-11-2019,3
customer_review-R2G51YWVLEJ39M,WorldOfDeals,Awesome product,wonderful camera beginners,10-03-2019,5
customer_review-R1ER6PLZS6T4GI,m.rajesh,Very good ....,photography good,12-11-2019,4
customer_review-R1YIESZ41QLOG7,Rohit.S,Beginers pick this!!!,best choice beginners available cheap price compared mpr market,26-12-2018,5
customer_review-R359A7YWLWF3AP,srikanth,Awesome !!!,every described problem camera,31-10-2018,5
customer_review-R23CUX6XAJL0B9,Akshay Bagwe,Awesome,nice product start ur photography awsome,02-06-2019,5
customer_review-R3H2FP73FF1ZA8,Rajesh,Nice,nice,30-07-2019,4
customer_review-R2UAYHWIK83J3C,Subramani singh R,Good,good,14-02-2019,5
customer_review-R3V5ICK18NCMPA,achintya,best camera at this price,nice camera beginners go,28-01-2019,5
customer_review-R1UOZCWJGQ2H1W,arnab banerjee,Good camera,good quality camera beigners,01-12-2019,4
customer_review-R92LVRAKZCF7Q,Imran Ali,Amazing,good camera beginners dont know anything cameras,09-11-2018,5
customer_review-RKVD0TOHOTKVZ,PRANJAL R.,Good,good,20-08-2019,5
customer_review-R2ABDR5P41B4GJ,Vipin,Worth investment.,delivery 15 hrs nice product,16-11-2018,5
customer_review-R2TP2DHE2SAWYW,jemish p.,Good reasonable deal,price point product best canon,13-11-2019,5
customer_review-R1VMC359F3JIDK,Dineshchandra,Great for beginners,great beginers,25-08-2019,5
customer_review-R3U018ATIOKII5,Govind S.,Awesome,r beginners blindly go,29-11-2019,5
customer_review-R28V210B3S06KE,Kindle Customer,DSLR camera,good camera beginners,12-12-2019,4
customer_review-R3AAY3AYKK5QZM,Kopal Agrawal,fantastic,fantastic product price 21 k,25-07-2019,4
customer_review-R1C33F5H10HQZ3,Joe Daniel,Superb!,great camera,07-07-2019,5
customer_review-R1L3FPHD1KQCLR,Soumik Dutta,Mind-blowing,great beginners,18-10-2019,4
customer_review-R3TJUMWSTJD4RP,Abhishek puskuri,Perfect and economical,con noticed far microphone input,23-05-2019,5
customer_review-R1JIXGP2YTBI11,Amazon Customer,Great deal for beginners,auto focus takes much time noise,06-11-2019,4
customer_review-RIXGM8VR59QHO,shyam,It's OK,good beginners little average picture quality,15-06-2019,3
customer_review-R2US6QPL140K3Y,sushant s.,5 out of 5,excellent camera price range,24-01-2019,5
customer_review-R3KVF86IZ1K7TM,Rohan,Canon EOS 1500d,awesome begginer camera gr8 super picture quality,29-10-2018,5
customer_review-R2XCQPBCFVOU19,Atul Mithbavkar,Packing is good,good dslr auto focus quality picture clear,21-07-2019,4
customer_review-R301R1ADYQ9DMC,Hari Prasad,Best,ok,03-11-2019,4
customer_review-RIXPQYGQV7W4A,kavin,worth for money,amazing decent camera budget easy use camera gud pixels,27-01-2019,5
customer_review-R168XNAP68JD3L,Amazon Customer,Awesome product by awesome deal,best deal best camera best shopping platform,17-09-2019,5
customer_review-R2Z6ED1RFAI1QV,Pramod Patil,Value for money product.,value money product,16-02-2019,4
customer_review-R1DUKG8L4X8YKC,Hemanth Kumar Nimmakayala,Awesome product,awesome picture quality,20-10-2019,5
customer_review-R196D9FKWNDTRV,ankit walia,Good Product,good budget dslr camera,12-11-2019,5
customer_review-R2JK2U2AKHSBGM,Amit Yawalkar,Good product,happy product,27-08-2019,5
customer_review-R2Q15GYMRUQBD1,Byresh,Best camera for photography beginners.,overall good product,17-10-2019,5
customer_review-RHQXEBK41UKP,suraj,Go ahead 👍,nice products must recommend beginners,28-09-2019,5
customer_review-R24U2XI5EGFKK9,Sandeep Pandey,Canon 1500d,good starter think lens good,29-10-2019,5
customer_review-RGCL7ORILWZAB,Jega,Good purchase for beginners,value money,29-10-2019,4
customer_review-R3SY2LB1072A4K,Sumit kumar chanda,Good product,product good beginners price,19-11-2018,5
customer_review-R1XTU67UDNL9JS,Samrat Guha,Nice Picture,nice camera canon best,30-10-2019,5
customer_review-R2ALUXMAZ8T67U,9652555015,Ok,good,18-10-2018,5
customer_review-R1CLJZW53C3HDO,Amazon Customer,Good for beginners,good dslr beginners quality bag came camera could better,14-11-2018,4
customer_review-R389QJ4E5MHZUK,Gin Mate,Overall the function is good for the beginners.,focus little bit noisy overall good,10-12-2019,4
customer_review-RNNVQVB2GKESV,Naren,Good beginner SLR,amazing pictures best beginners,05-03-2019,4
customer_review-R19WF9F1UHP3VU,Arunava,Good!,best one start,17-12-2018,4
customer_review-R2LOJ45GOIFHBD,LCKawlni,Good product,goodgood enough beginners,16-08-2019,5
customer_review-R2OJWL4NUMZKEL,Akashdip Das,Satisfying product,good beginners casual photography,09-06-2019,5
customer_review-RD9841KO7YS1O,Komali M.,Recommended for beginners,product nice highly preferred beginners,23-07-2019,4
customer_review-R1MYP4LLZTKRXP,Nishad,Gr8 camera,gr8 camera picture quality gr8,24-10-2019,5
customer_review-R2P649V7JXOKR5,Amazon Customer,18-55 lens is not worthy if you want to capture photos in animal reserve forest,zooming could better offer,25-08-2019,4
customer_review-RTJVSXQFEY54L,Simmi,My First DSLR,best entry level dslr good job canon,19-10-2019,5
customer_review-R11ASJ39PMQH4K,pranav,Perfect entry level DSLR,easy use excellent pic quality,12-11-2018,5
customer_review-R3NUFQIPOSO5NY,Mansingh,Average,continuous shoot hangs camera,06-11-2019,3
customer_review-R1ZH0Q79HH7OKZ,Sambasiva rao,It's very nice,usefull everyone mainly shor films,03-11-2019,5
customer_review-RP14I6IQCZA6P,paras n.,I loved it...,nothing say buy see,08-02-2019,5
customer_review-RKPSR5ESARQZZ,Bharadwaj,Great performance!!!,product performance expected,17-10-2019,5
customer_review-R12M8QGB14YHK1,Jayabrata S.,Nice,nice,11-11-2018,5
customer_review-R17BAT4PN299RX,Hitesh Choudhary,DSLR camera,awesome,08-01-2019,5
customer_review-R28P20PHLP18M,Anshul,Must buy for beginners,good product excellent auto focus good beginners,18-06-2019,5
customer_review-R2RFL8CT9TJHLR,Siddhant singh,Superb,awesome,20-10-2019,5
customer_review-RNKG8O9ZX1AWR,anjanesh varma,Value for money,good picture quality,14-10-2019,4
customer_review-R2ZCOO8EP5IH9G,Anuj,Quality picture,camera great quality picture super,17-06-2019,5
customer_review-RZG4MDMJ44BFK,Kishore,Super,super,05-11-2019,4
customer_review-R2T8866Q8Q0TQ0,Govind Goyal,Canon camera is Nice,product good fully satisfied,13-10-2019,5
customer_review-RZHWC2CSZDN1D,Amazon Customer,Perfectly suitable for beginner :),suitable beginner less budget,14-09-2019,4
customer_review-R1J38LJILYK2P,Uday,Canon 1500 D,good,29-05-2019,5
customer_review-R1MIKGQJJKQT9A,Rahul Prince,Awesome,great need improve performance,17-10-2019,4
customer_review-R2LM5T8WOY4BGV,Bikram s.,Good product,begginer good personal experience,05-08-2019,4
customer_review-R3NJTD7RSWAM1M,kamaleshwar Adhikary,Perfect Buyer,good dslr camera video quality need improve,12-11-2019,4
customer_review-R3SR5BO18TWJTR,Muhammed s.,Nice,amazing,13-08-2019,4
customer_review-R3BP0PX01VT7DX,Naveen,camera lover,awesome,21-08-2019,5
customer_review-R1N4YQBU30QUSH,Cheryl,Got it in discount,happy purchase,20-06-2019,4
customer_review-R12JC1W6RY3L2E,Mohit Kr,Nice camera under budget,dlsr budget camera,03-01-2019,5
customer_review-R451CVFCXATWV,Mohd shakib,I hate canom,thing dont buys,30-07-2019,1
customer_review-R8OTYEJ23SVH6,Mantri s kamble,Canon 1500d,nice canon good product,06-11-2019,5
customer_review-R17QM8EMHS00AR,Sanjay Verma,Just awesome for beginners,awesome beginners,20-10-2019,5
customer_review-R1E6GBE3QQE1O4,Girishan,Gud product,love product,05-10-2019,5
customer_review-RQF7RBQDYZT0W,Akhil cholakkal,Good product ♥️,good product also best price,13-11-2019,4
customer_review-R241RD3730GUI5,Meghana prasad,Good one.,good one except zoom,11-10-2018,5
customer_review-RU6H14MJAV9A4,Deepak Jadhav,Very Good DSLR Camera,overall good dslr camera beginners,10-11-2019,4
customer_review-R5HUDGH9DW0WT,Kiran A.,Good product,best camera beginners also good product,22-10-2019,5
customer_review-R1UCDU814UN3NL,Sonali Ohri,Great camera,camera also includes great features like wifi connectivity,17-11-2018,5
customer_review-RWYARK3TY7STV,ajit,Very nice product,got camera 20k thanks amazongreatindiansale,05-02-2019,5
customer_review-RYZOQJSBKLICK,Amazon Customer,Good,beginners great camera,14-04-2019,4
customer_review-R34GTXX8AD5VYI,Smit,Suitable for beginners,like camera suitable beginners,09-10-2019,5
customer_review-RVSISXTY6PDWG,INTI LAWRENCE,Cool,perfect using,08-11-2019,5
customer_review-REN40JJ96GZ0Z,Rajaram Mohan,Good images..,value money,25-08-2019,5
customer_review-R3FAUKW01HJSHF,Bharat N Patel,So.... Handful and gives best quality images,feel proud getting,23-10-2018,5
customer_review-R3N9N8WV9MF66,ganesh,hot shou,like pic auto focus low hot shoe miss,01-10-2019,1
customer_review-R1I9UKOPO38GXO,Akhil,Good cam,good quality good beginners,11-11-2019,5
customer_review-R2C6579XTNV917,Adarsh Kumar,Decent product for beginners,buying camra zoom lens helpful,10-11-2019,5
customer_review-R1QP8BBDOUR5R1,shashi,"It’s for beginners, but picture quality is okay.",beginners picture quality okay,05-12-2019,3
customer_review-R1U8Y75F3U00C9,Amazon Customer,Good,auto focus best beginners,02-11-2019,5
customer_review-RE4N03EKETMH8,Sudeept Raman,I liked,paisa vasul,28-10-2019,5
customer_review-R14XRU435H23SS,Ishan J.,Superb,excellent,14-07-2019,5
customer_review-R22U9VBV2JNDQI,sagar,best product,best camera range,20-02-2019,5
customer_review-R3N0REVGUIO5ZL,RANA P.,Excellant product,excellant beginners,06-07-2019,4
customer_review-R37KJOFSQ1K24C,Kishore,Awesome product,awesome product beginners love,26-07-2019,5
customer_review-R1A24868SGX04D,M VENKATESHAM,DSLR KING,value money,23-08-2019,5
customer_review-R1B1OO95XRTEQW,prashanth,Super,camera good image osm,22-10-2019,5
customer_review-R20I2RRZMM9V9N,Subhadip Saha,8.5 out of 10,amazing love perfect,03-10-2019,5
customer_review-R17JBT259DITJ7,Amazon Customer,Good product at best price,great deal 23990,13-11-2018,5
customer_review-RFLJB5FKWBLGD,Ramesh babu,Beginners camera,biginers,01-07-2019,5
customer_review-R2VLA6RFLQ9BN2,SUMIT GINDORIA,Amazing product with amazing outputs,camera awesome use amazing photos best beginners,27-02-2019,5
customer_review-R18OFWVWKIM8AV,Amazon Customer,"Awesome, best cam to start with",awesome best cam start,13-11-2018,4
customer_review-R3U11V5IPUJZT2,Harman,Good,good camera beginers bought rs 24500,18-11-2019,4
customer_review-R2O02EX0352BSM,D S.,Superb cam clarity,cam excellent clarity take photos,06-02-2019,5
customer_review-R3U8UPJ8OSKK2F,Sanjeev Thapa,Excellent,good product price,20-11-2019,5
customer_review-RKT9UT2055KUS,Amit,Camera,good beginner,20-11-2019,5
customer_review-R13RK9X5E66MDQ,Segireedy Jayavardhan,Good for beginners,good beginners,21-06-2019,4
customer_review-RWI23DUGRCYBE,Ravi Ranjan,Value for money,value money,07-12-2019,4
customer_review-R1R85N12JZELMQ,Harish Kumar,Excellent,amazing product,29-11-2019,5
customer_review-R1M3IUKZ5Y6T3D,Vadi,Very worst and cheap quality bag..,camera good camera bag worst cheap quality,01-06-2019,3
customer_review-R1R7TM6LI8R5KX,rojimonkv,Good,good,05-10-2019,5
customer_review-R2AKR84OLY99AT,Amazon Customer,Super,value money,29-06-2019,4
customer_review-R1OH7NUCG8NRFK,Rishab jain,Good for beginners..,amazing product affordable price,16-11-2019,5
customer_review-R2CPW6HC6514G1,Kalaiyarasu K,Buy with tele lens,super quality starting buy tele lens,31-10-2019,5
customer_review-R247B0NQXEMG83,Rambilas Suthar,Bad qwality product,bad photo quality canon 1500d dslr camera,01-10-2019,1
customer_review-RPKSIMPX0GQSU,Jignesh,Awesome,great beginnersfast delivery amazon,30-08-2019,5
customer_review-R36JYA3FCLA8V4,arunjith,Clarity,awesome product great image quality ecofriendy usage,02-03-2019,5
customer_review-R5W5WQ7ADUJ9L,Kumaresan,Amazing for the begginers,brought camera 30k,14-12-2019,5
customer_review-RFKN62ORKPWH8,Umang,Nice cam,nice cam beginners,03-11-2019,4
customer_review-R32DOFL2ZNC6Q8,Gopal,Good experience,good experience,06-10-2019,5
customer_review-RFK3MZDQS1OCX,Sagariya Mosses,Awesome..!,best camera beginners budget price,30-09-2019,4
customer_review-R1A8X9I4UB8BIK,Prathap,Very nice,never expected,11-07-2019,5
customer_review-RDBI5K94DITUV,Ribbom bam,Go for it,good camera,02-05-2019,4
customer_review-REEF78JPBZIO4,GANESH KUMAR SRINET,Best for this price..,nice,16-10-2018,5
customer_review-R23GOTOFIW611I,Ronak,nice dslr of canon,one best dslr,14-11-2018,5
customer_review-RK9DTTBHPF4A9,swapnil,Good product,perfect camera beginner,22-08-2019,4
customer_review-R1CFBAWXHEMRSY,Ravi kumar,Best for beginners,best camera among rangeoverall good performance,01-07-2019,5
customer_review-R1RLJC9D0SNRUE,Santosh Dalwani,GOOD,everything good appreciable,03-11-2019,5
customer_review-R1RTJSJ0QVLKJR,Divya pratap singh baghela,Close your eyes and buy it. Worth to buy 1500d camera.,amazing dslr best packaging amazon,29-10-2019,5
customer_review-R3MWSFJEWIA16K,Rishav,Worst product,lens bad broken inside,22-10-2019,1
customer_review-R6Y7MGRSXFO3Q,Amazon Customer,I am happy with Canon,really good product,07-07-2019,5
customer_review-R1CQUWHRZ8VQ4M,abhishek,Bahut acha hai,awesome product mind bloowing,11-10-2019,5
customer_review-R304BKHX7AW207,Bhargav,superb,superb,02-11-2019,5
customer_review-RKME9L11D7AJC,manogna,Amazing,perfect beginners,20-10-2019,5
customer_review-R3A4UYVP0U17TI,Anonymous,Perfect dslr for its price,excellent beginners quality price,17-07-2019,5
customer_review-R10CKW8O25TD4R,Sourabh goyal,Value for money,nice one,06-10-2019,5
customer_review-R1FX3R8U2AX8VM,Amazon Customer,Bad experience.,many noise photo like mobile camera,09-10-2019,4
customer_review-RPIT14ZKTWEPL,Swapnil More,Aswome,nice product,30-07-2019,5
customer_review-R3QUSMN4V6DKF5,Shubh suri,Canon is capturing,best camera beginners thumbs upp,31-12-2018,5
customer_review-R2J1SEK2401H5S,Milan mathew,About product,liked much good beginners,07-11-2019,5
customer_review-R2Y6AXXW5XMQKE,Amazon Customer,Perfect one for beginners ..,perfect one beginners,29-06-2019,5
customer_review-R1EKE1DXKPBETH,naren,Awesome deal,great images captures,22-11-2018,5
customer_review-R2CZ7N2EREPFEU,Sinojgopi,Thanks to Amazon,first dslr simple youse owsam pitcher quality thanks amazon,24-01-2019,5
customer_review-R38VKH0GCA852G,Benny t.,Nice,best beginner camera,06-12-2019,4
customer_review-R2T20ULX4ZWKQZ,Nitesh krishna nawle,Value for maney,nice product,11-10-2018,5
customer_review-R1AFZAVX55WQNY,Jyoti Kolhe,Dslr,good camera,10-05-2019,4
customer_review-R3PNZHV2YOOP0F,Anup Singh,10-Oct,nice camera,09-10-2019,5
customer_review-R18VF0YGHLQ71T,Amazon Customer,Good product,good product,21-08-2019,5
customer_review-R5M8AI595ZR08,dinesh,Smothness,pics nice quality focus excellent,14-11-2019,5
customer_review-RKD3KQCN5GZFU,Rahul R.,Best DSLR camera,nice camera price,12-10-2019,5
customer_review-R3PJD6V06VC3FC,Krishna Kumar,Beginners,ok,12-10-2019,4
customer_review-R7URT75HLUS99,jyoti soreng,Great dslr,get pay excellent,24-11-2019,5
customer_review-R3E5XDTUG82HWD,Kindle Customer,Good One,useful easy learn beginners,13-11-2019,5
customer_review-R3E2QXFJ6ATWKL,jainender pal singh,Awesome deal,awesome beginners,19-10-2019,5
customer_review-R140SIR0CO5S27,jitendra kumar,good,good product good price,01-11-2019,5
customer_review-R1F9HY16LU0R6W,Thahir,Worth for money,awesome gud fr beginners,23-08-2019,5
customer_review-R2KMVL748BETT3,Prosun Banerjee,Asoum product for Bigener,good,28-10-2018,5
customer_review-R6BDDZ6S1BZ8J,Amit Anand Patel,Nice,nice,14-11-2019,5
customer_review-R2QA73VG8BOGJ1,Arun,Good,good,25-08-2019,5
customer_review-R3CLEGJE7KIL9P,Biswarup Kundu,good,awsome beginner,22-10-2019,4
customer_review-R3JQ0KNYJ7A3VE,Annu Chhabra,Perfect DSLR,value money picture quality awesome,09-12-2018,5
customer_review-RL3YM94Z54V7C,Arun,Beginner can buy,gud camera beginners,15-06-2019,4
customer_review-R3GQU3QAHWFCZJ,Amarjith raj,Worthy purchase,apt beginners autofocus bit slow,18-07-2019,5
customer_review-R62KQA20S1SS2,Suren tamang,Awesome,camera awesome,14-10-2018,5
customer_review-R2N6JYE0YGKEFY,Martin..,Keep it up bro,really satisfy,01-10-2019,5
customer_review-R2S4J70ZGC1PCZ,Dharma Teja,Best camera at this price,great product beginner,03-09-2019,4
customer_review-RJM3VFEBVRN8P,Shobhit Agrawal,Best Quality and Best Camera,like amazon services,23-11-2018,5
customer_review-R26I8Y0ZA2LMK3,mohith,Good,good camera beginners,21-06-2019,5
customer_review-RE1T24ZPUKMJT,Venkatesu amujuri,poor image quality,disspointing taken images poor clarity,31-12-2018,1
customer_review-R2XJDVV0VX8ADW,nithin raj,Very good offer and product given by Amazon,good product nice packing good delivery,13-10-2019,5
customer_review-R1E8BCVC2SEW6Q,shravan,Avg,avg,30-11-2019,3
customer_review-R3158ARQI54F8G,Jane4U,Awesome product,good beginners,03-11-2019,5
customer_review-R3CDG548JRQEO2,Naveen Nk,Nice,awesome product,22-02-2019,5
customer_review-R34QM922QGRN8,Krinav,It fulfilled all my expectations,funtastic,18-11-2018,2
customer_review-R19ATSRXD3YVIQ,Vachhani monali,Awesome,good excellent quality,03-10-2019,5
customer_review-RBT69BDHGC6BN,Amazon Customer,Good camera,good bigner,25-05-2019,5
customer_review-RL0W98Q15P4B5,Arvind khetan,nice camera quality,nice camera quality,02-11-2019,5
customer_review-RZ8T341GW191G,Ram,Good,pictur quality super,10-11-2018,4
customer_review-R1AI78Z1D2KT97,Amazon Customer,Issue,facing problem attaching additional flash,26-10-2018,4
customer_review-R1NPM61WMBE7GQ,pradeep,cannon,product nice good,17-10-2019,4
customer_review-R18V1EEQJXF5NM,Ajay kumar,Flash is not working,product deficted flash working,29-10-2019,1
customer_review-RWT8ZX0BFD8I8,Ramesh Subbaiah,Good one,useful beginners,04-11-2019,4
customer_review-RW46NSIHWI79U,Ram Kumar M,Nice,good beginners,17-07-2019,5
customer_review-R2QCVTFE7IQ9J0,Amazon Customer,Not satisfied,satisfied performance,18-08-2019,2
customer_review-R8SF4K3T5OJGR,Jack patel,Nice,nice camera,28-11-2019,5
customer_review-R1GQS0BV4BXOD3,Amazon Customer,Good,nothing,08-10-2019,5
customer_review-R3749ZE86MBOD2,karthick,good,good,15-10-2018,5
customer_review-R1KJG5CPQB0RKP,Md HABIBUR RAHMAN,Sound quality is good,nice,18-10-2019,5
customer_review-RLDM7M2XYMLY4,S venkat,very nice,nice,30-09-2019,4
customer_review-R6H8FO0KYXDTW,Avinash PS,Every shot is power shot canon,started next level beginner,15-03-2019,5
customer_review-RPH5GCNV8ZY8O,Rk,I love canon...,natural imageandroid budget camera,21-11-2018,4
customer_review-R2K6VTHN0621QX,Bernard Dmello,Value for price,amazing camera beginners,18-10-2019,5
customer_review-R7HYB2RRO30BC,soumen roy,Operating problem,able operate properly need demo,05-10-2019,3
customer_review-R3P1BM5O4UYP0O,gajendra,Nice,nice product picture quality awesome,14-08-2019,5
customer_review-R2RMO97EKYI2Y5,Pankaj Naliyapara,Nice camera in this range,auto focus,01-10-2019,5
customer_review-R2M1ASDMJ4GHRX,Abir sarkar,Good product,value money,18-10-2019,4
customer_review-R10XUK0R3J75LA,NanDan,Best For photography,good product best photography,26-04-2019,5
customer_review-R2RIEDMH7RL9G1,Aranya Choudhury,Good camera,good beginners,08-06-2019,4
customer_review-R3FZQ3SLPIXKIV,Om shukla,Very good camera,good camera chief,30-01-2019,5
customer_review-R3KY2AL12QNIFG,Shilpa Ahire,"Camera nice , but hard for use",camera nice hard operating,27-11-2019,5
customer_review-R2NVRYNUIFAJHG,Prashanth,Super,good product full happy,24-10-2019,4
customer_review-R35RPBS7B1X7B9,abhishek naik,IMPRESSIVE,awesome camera beginners go,03-10-2019,5
customer_review-R2T8S0LBHAAWCG,Lakshmi narayanan,Very good beginner camera,crispy image good battery life,18-12-2018,5
customer_review-RLKFEBICTQ5UY,sushil,Surely go for it everyone,grt camera beginners,05-10-2019,5
customer_review-R3VHHZIMOHWMKQ,Amazon Customer,Very good,good,06-10-2019,4
customer_review-R1GLXML9FU2ST7,Prashant gupta,G,everything ok,28-10-2018,5
customer_review-RXWPQ644SI1ET,Praveen Mathew Kurien,Nice,perfect,02-11-2019,5
customer_review-R2GSMO5FEB0BH6,Ravi,Nice DSLR I used as my first dslr,everything good cam,31-07-2019,5
customer_review-R16112BRS6OZXN,Pradeep Dudave,Good product,good prodoct,13-10-2019,4
customer_review-R1WJLCQ0Y426ZT,Rohit Tungar,Good product,value moneygood beginner,12-10-2019,5
customer_review-R245PHR0Q7LG8B,nilesh rathaur,Battery problems,b better problems,22-10-2019,1
customer_review-R2EM37Y8WB30U,PRADIP G.,Necessary accessories not included like data cable,ok product,12-11-2019,4
customer_review-R1YWP02GVGHSS8,Florance,Quality,camera quality good,15-09-2019,4
customer_review-R1JS9QNBGG546Y,shobhit,Perfect budget camera,awesome dslr quality expected,24-10-2018,5
customer_review-R2LOY9BKMOS4TU,Mahesh devari,Go for it,superb,28-10-2019,4
customer_review-RSBH4BVYEGG6H,dinesh yadav,Nice,awsm,05-10-2019,5
customer_review-R2LR3LZIGNFJY1,santosh.b,Nice product,nice product like much,03-12-2019,4
customer_review-RTNYI0SBT1L1U,Vipul Patel,Best entry level dslr,oowsom camera photography,06-11-2019,5
customer_review-R3BSDHFIO656AE,Gaurav kumar,Good feature for connecting with phone.,best learning photography,06-11-2019,5
customer_review-RCMM2V7PE4Y7A,Ajeesh.k,Good product,beginners good product,31-10-2019,5
customer_review-RUT419TE42OH1,Bikas,Awesome product in cheap rate,live camera good fir beginners,03-10-2019,4
customer_review-R3TOX2HGOTUCPN,Vishwasba,Excellent product,excellent product lot feature,28-04-2019,5
customer_review-R1HLZ8LZ8PH6UF,Sreekanth kg,Gud one,good one rate,10-11-2019,5
customer_review-R38YOR4XO15KDF,Aditya,Nice one,good quality product,09-11-2019,4
customer_review-RDJFORIG5D9TQ,SAGAR KUMAR MISHRA,Perfect Picture,great quality,23-11-2019,5
customer_review-RTN80YCUOCCPV,Amazon Customer,Good product,really like,12-11-2018,5
customer_review-R2D0EWMXCE4R1G,honnakesh p.,Good product,best starter,24-08-2019,4
customer_review-R5Z5EZCZNBSKY,Prashant,Fast opreting,beautiful photo graphy,08-12-2019,5
customer_review-R3K46X83QZ3N8C,abdul latheef,Good,good camera quality,04-06-2019,5
customer_review-R1Q9EHYZTW64W2,anupnair,Battery not back up not even working for 20 photos,battery working month,08-12-2019,1
customer_review-R2HY57XEA3VKRU,Vinayak sadkar,Great camera,nice oneand great beginners,18-11-2019,5
customer_review-RJ8VQM01IRAIZ,Viraj Kulkarni,Best,best product canon love,31-10-2019,5
customer_review-R1XYSV5R50E8YW,Pratik Dhange,Carry Case And Data Cable,carry case data cable box,05-10-2019,1
customer_review-R1D4H7THRCJV8O,Sanket,Very good camera for beginners.,poor battery backup,07-11-2019,5
customer_review-R27UJWJ5UT3HDL,Devender Khanna,Professional camera,nice picture quality,30-10-2019,5
customer_review-R2ZO05B89GVQQ2,Shubham,Good product,good product,23-10-2019,5
customer_review-RDOY9I6JJS9QJ,bhavin gondaliya,v.good,vgood proand marketing,02-11-2019,4
customer_review-R3OY4GQ1UWCVO6,chirag,Autofocus issue,auto focus work cupture image,17-07-2019,1
customer_review-R14LH0GD6ULCNX,kaushal sahu,Nice product,good product aswome picture,01-10-2019,4
customer_review-R3K2Z1ZCR6F806,Manish bj,Best choice,best value money,01-12-2018,5
customer_review-R24GFTLCCZ7626,VISHNU DAS M S,Good,good,02-03-2019,5
